context;importance;human;response
"Este es el tercer supuesto que contempla el precepto legal en análisis y tiene por objeto que los productos o servicios no sean considerados por el público consumidor como ligados o procedentes de una comunidad indígena porque éstos utilicen expresiones culturales de la misma.

Al respecto, son aplicables las manifestaciones anteriormente expuestas en los dos puntos que preceden, y en ese sentido cabe enfatizar que la comunidad que usa las expresiones culturales de referencia es quien, a través de sus representantes, puede oponerse a su registro como marca, así como pueden también autorizarlo si así se ha acordado. Igual que en los dos supuestos anteriores, la oficina nacional puede denegar el registro del signo de oficio.";Alta;Qué entidad puede denegar el registro del signo de oficio según el contexto proporcionado?;Según el contexto proporcionado, la oficina nacional puede denegar el registro del signo de oficio.
“(…) la noción de “expresión del folclore” alude a creaciones artísticas, generalmente colectivas, que reflejen expectativas artísticas tradicionales. Ellas pueden ser verbales, musicales, corporales o tangibles. Por consiguiente, un cuento (expresión verbal), una canción (expresión musical), una danza (expresión corporal) o una cerámica (expresión tangible) inspiradas en un personaje histórico indígena, podrían ser consideradas como producciones integradas por elementos del patrimonio artístico tradicional, resultantes de la creatividad de personas o grupos con contenido cultural (Convención sobre la protección y la promoción de la diversidad de las expresiones culturales), que además reflejan expectativas artísticas tradicionales.”296;Alta;"Qué tipo de creaciones artísticas pueden considerarse como ""expresión del folclore"" según el contexto proporcionado?";"Según el contexto proporcionado, las creaciones artísticas que pueden considerarse como ""expresión del folclore"" incluyen:

1. Creaciones verbales: tales como cuentos.
2. Creaciones musicales: como canciones.
3. Creaciones corporales: como danzas.
4. Creaciones tangibles: como cerámica.

Estas creaciones artísticas generalmente reflejan expectativas artísticas tradicionales y pueden estar inspiradas en elementos del patrimonio artístico tradicional, especialmente cuando involucran contenido cultural de personas o grupos con raíces indígenas."
"De lo anterior se desprende que las expresiones culturales, dada su naturaleza, pueden ser objeto de protección bajo la figura de marca, en cualquiera de las modalidades, tradicional o no tradicional, marcas denominativas, mixtas, tridimensionales, sonoras, de movimiento, etc., y no pueden ni deben ser registradas, sino por la comunidad misma, o mediante el procedimiento y medio idóneo para obtener la autorización o consentimiento expreso.

El SENADI, con fundamento en esta causal negó el registro del signo DÍA NACIONAL DE LA BOMBA DEL CHOTA, solicitado para identificar servicios de la clase 41, bajo la consideración de que “La Bomba del Chota es un género musical que identifica a la cultura de los afrodescendientes y es originaria del Valle del Chota en Ecuador”297.";Alta;Qué tipo de protección pueden recibir las expresiones culturales según el contexto proporcionado?;Según el contexto proporcionado, las expresiones culturales pueden ser objeto de protección bajo la figura de marca, ya sea en modalidades tradicionales o no tradicionales, incluyendo marcas denominativas, mixtas, tridimensionales, sonoras, de movimiento, entre otras. Sin embargo, su registro puede no estar a cargo del procedimiento normal para marcas, sino que pueden ser protegidas por la comunidad misma o mediante el procedimiento y medio idóneo para obtener autorización o consentimiento expreso.
"En Colombia, la SIC negó el registro de la marca mixta MINGA, solicitada para identificar servicios de la clase 41298:

De acuerdo con la oficina, la expresión MINGA “hace referencia de manera directa a una manifestación de la cultura y práctica de una comunidad o minoría étnica protegida por normas internacionales. (…) el término MINGA consiste en un término especialmente utilizado por los pueblos indígenas del país para hacer referencia a sus movilizaciones sociales y reuniones, motivo por el que se considera que se restringiría su libre utilización por los pueblos indígenas en caso de conceder el signo bajo examen”.

Por su parte, el INDECOPI negó el registro de este signo299:";Alta;Cuál fue el motivo para la negación del registro de la marca MINGA por parte de la SIC?;"El motivo para la negación del registro de la marca MINGA por parte de la SIC fue que la expresión ""MINGA"" hace referencia directa a una manifestación cultural y práctica de una comunidad o minoría étnica protegida internacionalmente. Además, se indicó que este término es especialmente utilizado por los pueblos indígenas del país para hacer referencia a sus movilizaciones sociales y reuniones, lo cual llevaría a considerar que su libre utilización podría ser restringida en caso de conceder el registro de la marca."
La oficina, previamente verificó que la expresión “RAYMILLAQTA DE LOS CHACHAPOYA”, designa una festividad regional que forma parte de la semana turística de Chachapoyas, la cual fue creada el año 1997 y, además cuenta con reconocimiento legal en virtud de lo señalado en el artículo 2, literal e) de la Ley 27425, mediante la cual se oficializa dicha festividad como parte de un ritual de identidad nacional. Conforme a lo anterior, el INDECOPI determinó que al apreciar los usuarios los servicios que se pretende distinguir con el signo solicitado considerarán que corresponden a las actividades propias de las manifestaciones culturales de la provincia de Chachapoyas en la Región de Amazonas.;Alta;"Cuál es el año en que se creó la festividad regional ""RAYMILLAQTA DE LOS CHACHAPOYA""?";"El año en que se creó la festividad regional ""RAYMILLAQTA DE LOS CHACHAPOYA"" es 1997."
"Signos que constituyan una reproducción, imitación, traducción, transliteración o transcripción, total o parcial, de un signo distintivo notoriamente conocido (literal h) artículo 136 DA 486).

El literal h) del artículo 136 de la DA 486 establece:

“Artículo 136.- No podrán registrarse como marcas aquellos signos cuyo uso en el comercio afectara indebidamente un derecho de tercero, en particular cuando:

(…)";Alta;Cuáles son los signos que no podrán registrarse según el literal h) del artículo 136 de la DA 486?;Según el literal h) del artículo 136 de la DA 486, no podrán registrarse como marcas aquellos signos que constituyan una reproducción, imitación, traducción, transliteración o transcripción total o parcial de un signo distintivo notoriamente conocido.
"(…)

	constituyan una reproducción, imitación, traducción, transliteración o transcripción, total o parcial, de un signo distintivo notoriamente conocido cuyo titular sea un tercero, cualesquiera que sean los productos o servicios a los que se aplique el signo, cuando su uso fuese susceptible de causar un riesgo de confusión o de asociación con ese tercero o con sus productos o servicios; un aprovechamiento injusto del prestigio del signo; o la dilución de su fuerza distintiva o de su valor comercial o publicitario.”

Las marcas notorias, se encuentran reguladas en la DA 486, que incorpora un apartado especial para su análisis y el detalle de su protección, preceptos legales que van del artículo 224 al 236, entre los que se establece que:";Alta;Qué ocurre si se reproduce parcialmente un signo distintivo notoriamente conocido de otro titular?;Si se reproduce parcialmente un signo distintivo notoriamente conocido de otro titular, constituye una violación y puede causar un riesgo de confusión o asociación con el titular original y sus productos o servicios. Además, podría considerarse un aprovechamiento injusto del prestigio del signo o la dilución de su fuerza distintiva o valor comercial o publicitario.
"Para ser considerado notorio el signo debe ser conocido por el sector pertinente que habitualmente adquiere o comercializa los productos o servicios identificados por el signo.

	Su notoriedad debe haber sido adquirida en cualquiera de los Países Miembros.

	La notoriedad puede haber sido obtenida por cualquier medio.

En este sentido, podemos afirmar que la marca notoria es aquélla que cuenta con esta condición en cualquier País Miembro de la CAN, con independencia de si su titular es nacional o extranjero y basta con que la notoriedad se de en uno de los países para que tenga la protección en todo el territorio de la CAN, es decir, recibe protección especial en los 4 países, rompiendo el principio de territorialidad.";Alta;Cuáles son las condiciones para considerar una marca como notoria según el contexto proporcionado?;"Para considerar una marca como notoria, debe cumplirse la siguiente condición:

1. El signo (marca) debe ser conocido por el sector pertinente que habitualmente adquiere o comercializa los productos o servicios identificados por el signo.

2. Esta notoriedad debe haber sido adquirida en cualquiera de los Países Miembros del Acuerdo para la Cooperación Administrativa en Materia de Patentes y Marcas (CAN).

3. La notoriedad puede haber sido obtenida a través de cualquier medio.

4. Una vez que se cumple el punto 1 y 2, la marca recibe protección especial en los cuatro países miembros de la CAN, independientemente del nacionalidad del titular de la marca.

Estas son las condiciones esenciales para considerar una marca como notoria según el contexto proporcionado."
"Lo anterior implica, para efectos de esta causal de irregistrabilidad, que en caso de que se presente una oposición con base en una marca notoria, las oficinas nacionales reconocerán la declaratoria de notoriedad que haya expedido la oficina de propiedad industrial de cualquiera de los otros Países Miembros; Ahora bien, en caso de que el opositor no cuente con una declaratoria de notoriedad deberá presentar, junto con la oposición, las pruebas que permitan acreditar que cuenta con esta condición en cualquiera de los otros Países Miembros de la CAN300.

En relación con las pruebas, estas deben permitir al examinador determinar el grado de conocimiento o reconocimiento de la marca en el sector pertinente en cualquiera de los Países Miembros de la CAN.";Alta;Qué tipo de pruebas debe presentar un opositor que no cuenta con una declaratoria de notoriedad expedida por una oficina de propiedad industrial de los Países Miembros de la CAN?;Un opositor que no cuenta con una declaratoria de notoriedad expedida por una oficina de propiedad industrial de los Países Miembros de la CAN debe presentar, junto con la oposición, pruebas que permitan acreditar el grado de conocimiento o reconocimiento de la marca en el sector pertinente en cualquiera de los Países Miembros de la CAN. Estas pruebas deben ser suficientes para que el examinador pueda determinar el nivel de notoriedad de la marca en ese contexto.
"Por lo anterior, el examinador podrá incluso tomar en cuenta pruebas provenientes de otros países, siempre y cuando las mismas permitan, junto con otros elementos probatorios, inferir el conocimiento de la marca dentro del territorio de la CAN.

El precepto legal establece que no serán registrables signos que constituyan una reproducción, imitación, traducción, transliteración o transcripción, total o parcial, de un signo distintivo notoriamente conocido, pues esto puede dar como resultado la presencia de cualquiera de los siguientes riesgos301:

	Riesgo de confusión. Se presenta cuando del resultado del cotejo marcario se desprenda que el signo propuesto a registro provoque una recordación inmediata con una marca notoriamente conocida.";Alta;Cuál es el riesgo asociado a la reproducción, imitación, traducción, transliteración o transcripción de un signo distintivo notoriamente conocido según el precepto legal mencionado?;"Según el precepto legal mencionado, el riesgo asociado a la reproducción, imitación, traducción, transliteración o transcripción de un signo distintivo notoriamente conocido es:

Riesgo de confusión. Este riesgo surge cuando el signo propuesto para registro puede hacer que los consumidores asocien inmediatamente el nuevo signo con una marca ya existente y conocida, lo cual podría llevar a la confusión en cuanto a la fuente del producto o servicio."
