context;importance;human;response
"que no haya pagado las tasas de tramitación correspondientes.

Artículo 150.- Vencido el plazo establecido en el artículo 148, o si no se hubiesen presentado oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad. En caso se hubiesen presentado oposiciones, la oficina nacional competente se pronunciará sobre éstas y sobre la concesión o denegatoria del registro de la marca mediante resolución.

Artículo 151.- Para clasificar los productos y los servicios a los cuales se aplican las marcas, los Países Miembros utilizarán la Clasificación Internacional de Productos y Servicios para el Registro de las Marcas, establecida por el Arreglo de Niza del 15 de junio de 1957, con sus modificaciones vigentes.";Alta;Cuál es el procedimiento que sigue la oficina nacional competente si se vence el plazo establecido en el artículo 148 o no se presentan oposiciones?;Según el contexto proporcionado en los artículos 150 y 151, si se vence el plazo establecido en el artículo 148 o no se presentan oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad de la marca. No obstante, el contexto no contiene información sobre lo que ocurre si no se han pagado las tasas de tramitación correspondientes.
"que no haya pagado las tasas de tramitación correspondientes.

Artículo 150.- Vencido el plazo establecido en el artículo 148, o si no se hubiesen presentado oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad. En caso se hubiesen presentado oposiciones, la oficina nacional competente se pronunciará sobre éstas y sobre la concesión o denegatoria del registro de la marca mediante resolución.

Artículo 151.- Para clasificar los productos y los servicios a los cuales se aplican las marcas, los Países Miembros utilizarán la Clasificación Internacional de Productos y Servicios para el Registro de las Marcas, establecida por el Arreglo de Niza del 15 de junio de 1957, con sus modificaciones vigentes.";Alta;¿Qué acciones toma la oficina nacional competente si el plazo establecido en el artículo 148 expira o no se presentan oposiciones?;Según el contexto proporcionado en los artículos 150 y 151, si se vence el plazo establecido en el artículo 148 o no se presentan oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad de la marca. No obstante, el contexto no contiene información sobre lo que ocurre si no se han pagado las tasas de tramitación correspondientes.
"que no haya pagado las tasas de tramitación correspondientes.

Artículo 150.- Vencido el plazo establecido en el artículo 148, o si no se hubiesen presentado oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad. En caso se hubiesen presentado oposiciones, la oficina nacional competente se pronunciará sobre éstas y sobre la concesión o denegatoria del registro de la marca mediante resolución.

Artículo 151.- Para clasificar los productos y los servicios a los cuales se aplican las marcas, los Países Miembros utilizarán la Clasificación Internacional de Productos y Servicios para el Registro de las Marcas, establecida por el Arreglo de Niza del 15 de junio de 1957, con sus modificaciones vigentes.";Alta;¿Cómo procede la oficina nacional competente en caso de que el plazo del artículo 148 termine o no haya oposiciones?;Según el contexto proporcionado en los artículos 150 y 151, si se vence el plazo establecido en el artículo 148 o no se presentan oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad de la marca. No obstante, el contexto no contiene información sobre lo que ocurre si no se han pagado las tasas de tramitación correspondientes.
"que no haya pagado las tasas de tramitación correspondientes.

Artículo 150.- Vencido el plazo establecido en el artículo 148, o si no se hubiesen presentado oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad. En caso se hubiesen presentado oposiciones, la oficina nacional competente se pronunciará sobre éstas y sobre la concesión o denegatoria del registro de la marca mediante resolución.

Artículo 151.- Para clasificar los productos y los servicios a los cuales se aplican las marcas, los Países Miembros utilizarán la Clasificación Internacional de Productos y Servicios para el Registro de las Marcas, establecida por el Arreglo de Niza del 15 de junio de 1957, con sus modificaciones vigentes.";Alta;¿Qué sucede si el plazo del artículo 148 se vence o no se presentan oposiciones en relación con la oficina nacional competente?;Según el contexto proporcionado en los artículos 150 y 151, si se vence el plazo establecido en el artículo 148 o no se presentan oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad de la marca. No obstante, el contexto no contiene información sobre lo que ocurre si no se han pagado las tasas de tramitación correspondientes.
"que no haya pagado las tasas de tramitación correspondientes.

Artículo 150.- Vencido el plazo establecido en el artículo 148, o si no se hubiesen presentado oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad. En caso se hubiesen presentado oposiciones, la oficina nacional competente se pronunciará sobre éstas y sobre la concesión o denegatoria del registro de la marca mediante resolución.

Artículo 151.- Para clasificar los productos y los servicios a los cuales se aplican las marcas, los Países Miembros utilizarán la Clasificación Internacional de Productos y Servicios para el Registro de las Marcas, establecida por el Arreglo de Niza del 15 de junio de 1957, con sus modificaciones vigentes.";Alta;¿Qué medidas adopta la oficina nacional competente si el plazo del artículo 148 se cumple o no se han presentado oposiciones?;Según el contexto proporcionado en los artículos 150 y 151, si se vence el plazo establecido en el artículo 148 o no se presentan oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad de la marca. No obstante, el contexto no contiene información sobre lo que ocurre si no se han pagado las tasas de tramitación correspondientes.
"que no haya pagado las tasas de tramitación correspondientes.

Artículo 150.- Vencido el plazo establecido en el artículo 148, o si no se hubiesen presentado oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad. En caso se hubiesen presentado oposiciones, la oficina nacional competente se pronunciará sobre éstas y sobre la concesión o denegatoria del registro de la marca mediante resolución.

Artículo 151.- Para clasificar los productos y los servicios a los cuales se aplican las marcas, los Países Miembros utilizarán la Clasificación Internacional de Productos y Servicios para el Registro de las Marcas, establecida por el Arreglo de Niza del 15 de junio de 1957, con sus modificaciones vigentes.";Alta;¿Qué sigue para la oficina nacional competente si el plazo del artículo 148 termina o no hay oposiciones?;Según el contexto proporcionado en los artículos 150 y 151, si se vence el plazo establecido en el artículo 148 o no se presentan oposiciones, la oficina nacional competente procederá a realizar el examen de registrabilidad de la marca. No obstante, el contexto no contiene información sobre lo que ocurre si no se han pagado las tasas de tramitación correspondientes.
"Las clases de la Clasificación Internacional referida en el párrafo anterior no determinarán la similitud ni la disimilitud de los productos o servicios indicados expresamente.

CAPITULO III

De los Derechos y Limitaciones conferidos por la Marca

Artículo 152.- El registro de una marca tendrá una duración de diez años contados a partir de la fecha de su concesión y podrá renovarse por períodos sucesivos de diez años.";Alta;Cuál es el período de duración inicial del registro de una marca según el artículo 152?;El período de duración inicial del registro de una marca según el artículo 152 es de diez años.
"Las clases de la Clasificación Internacional referida en el párrafo anterior no determinarán la similitud ni la disimilitud de los productos o servicios indicados expresamente.

CAPITULO III

De los Derechos y Limitaciones conferidos por la Marca

Artículo 152.- El registro de una marca tendrá una duración de diez años contados a partir de la fecha de su concesión y podrá renovarse por períodos sucesivos de diez años.";Alta;¿Cuántos años dura el registro de una marca según el artículo 152?;El período de duración inicial del registro de una marca según el artículo 152 es de diez años.
"Las clases de la Clasificación Internacional referida en el párrafo anterior no determinarán la similitud ni la disimilitud de los productos o servicios indicados expresamente.

CAPITULO III

De los Derechos y Limitaciones conferidos por la Marca

Artículo 152.- El registro de una marca tendrá una duración de diez años contados a partir de la fecha de su concesión y podrá renovarse por períodos sucesivos de diez años.";Alta;¿Durante cuántos años se mantiene el registro de una marca de acuerdo con el artículo 152?;El período de duración inicial del registro de una marca según el artículo 152 es de diez años.
"Las clases de la Clasificación Internacional referida en el párrafo anterior no determinarán la similitud ni la disimilitud de los productos o servicios indicados expresamente.

CAPITULO III

De los Derechos y Limitaciones conferidos por la Marca

Artículo 152.- El registro de una marca tendrá una duración de diez años contados a partir de la fecha de su concesión y podrá renovarse por períodos sucesivos de diez años.";Alta;¿Qué es el período de duración del registro de una marca establecido en el artículo 152?;El período de duración inicial del registro de una marca según el artículo 152 es de diez años.
